category, srcnode, srchostname, srcip, dstnode, dsthostname, dstip, clientcomponent, servercomponent, port, description
internal, 1, dc1snrtsn01, 10.119.3.201, 3, dc1sngwsn03, 10.119.3.203, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 1, dc1snrtsn01, 10.119.3.201, 3, dc1sngwsn03, 10.119.3.203, R, MP, 8998, Communication between Router and Message Processor
internal, 1, dc1snrtsn01, 10.119.3.201, 3, dc1sngwsn03, 10.119.3.203, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 1, dc1snrtsn01, 10.119.3.201, 3, dc1sngwsn03, 10.119.3.203, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 1, dc1snrtsn01, 10.119.3.201, 4, dc1sngwsn04, 10.119.3.204, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 1, dc1snrtsn01, 10.119.3.201, 4, dc1sngwsn04, 10.119.3.204, R, MP, 8998, Communication between Router and Message Processor
internal, 1, dc1snrtsn01, 10.119.3.201, 4, dc1sngwsn04, 10.119.3.204, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 1, dc1snrtsn01, 10.119.3.201, 4, dc1sngwsn04, 10.119.3.204, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 1, dc1snrtsn01, 10.119.3.201, 5, dc1sngwsn05, 10.119.3.205, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 1, dc1snrtsn01, 10.119.3.201, 5, dc1sngwsn05, 10.119.3.205, R, MP, 8998, Communication between Router and Message Processor
internal, 1, dc1snrtsn01, 10.119.3.201, 5, dc1sngwsn05, 10.119.3.205, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 1, dc1snrtsn01, 10.119.3.201, 5, dc1sngwsn05, 10.119.3.205, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 1, dc1snrtsn01, 10.119.3.201, 6, dc1sngwsn06, 10.119.3.206, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 1, dc1snrtsn01, 10.119.3.201, 6, dc1sngwsn06, 10.119.3.206, R, MP, 8998, Communication between Router and Message Processor
internal, 1, dc1snrtsn01, 10.119.3.201, 6, dc1sngwsn06, 10.119.3.206, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 1, dc1snrtsn01, 10.119.3.201, 6, dc1sngwsn06, 10.119.3.206, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 1, dc1snrtsn01, 10.119.3.201, 7, dc1sngwsn07, 10.119.3.207, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 1, dc1snrtsn01, 10.119.3.201, 7, dc1sngwsn07, 10.119.3.207, R, MP, 8998, Communication between Router and Message Processor
internal, 1, dc1snrtsn01, 10.119.3.201, 7, dc1sngwsn07, 10.119.3.207, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 1, dc1snrtsn01, 10.119.3.201, 7, dc1sngwsn07, 10.119.3.207, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 2, dc1snrtsn02, 10.119.3.202, 3, dc1sngwsn03, 10.119.3.203, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 2, dc1snrtsn02, 10.119.3.202, 3, dc1sngwsn03, 10.119.3.203, R, MP, 8998, Communication between Router and Message Processor
internal, 2, dc1snrtsn02, 10.119.3.202, 3, dc1sngwsn03, 10.119.3.203, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 2, dc1snrtsn02, 10.119.3.202, 3, dc1sngwsn03, 10.119.3.203, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 2, dc1snrtsn02, 10.119.3.202, 4, dc1sngwsn04, 10.119.3.204, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 2, dc1snrtsn02, 10.119.3.202, 4, dc1sngwsn04, 10.119.3.204, R, MP, 8998, Communication between Router and Message Processor
internal, 2, dc1snrtsn02, 10.119.3.202, 4, dc1sngwsn04, 10.119.3.204, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 2, dc1snrtsn02, 10.119.3.202, 4, dc1sngwsn04, 10.119.3.204, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 2, dc1snrtsn02, 10.119.3.202, 5, dc1sngwsn05, 10.119.3.205, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 2, dc1snrtsn02, 10.119.3.202, 5, dc1sngwsn05, 10.119.3.205, R, MP, 8998, Communication between Router and Message Processor
internal, 2, dc1snrtsn02, 10.119.3.202, 5, dc1sngwsn05, 10.119.3.205, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 2, dc1snrtsn02, 10.119.3.202, 5, dc1sngwsn05, 10.119.3.205, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
